# NAME             %05s "TWISS"
# TYPE             %05s "TWISS"
# SEQUENCE         %02s "BL"
# PARTICLE         %08s "ELECTRON"
# MASS             %le     0.0005109989461
# CHARGE           %le                  -1
# ENERGY           %le         1.500000087
# PC               %le                 1.5
# GAMMA            %le         2935.426968
# KBUNCH           %le                   1
# BCURRENT         %le                   0
# SIGE             %le               0.001
# SIGT             %le                   1
# NPART            %le                   0
# EX               %le                   1
# EY               %le                   1
# ET               %le               0.001
# LENGTH           %le           115.16199
# ALFA             %le      0.004975864861
# ORBIT5           %le                  -0
# GAMMATR          %le         14.17639193
# Q1               %le         9.231705299
# Q2               %le         3.228557288
# DQ1              %le        -22.09991856
# DQ2              %le        -11.79959297
# DXMAX            %le         1.071239793
# DYMAX            %le                  -0
# XCOMAX           %le                   0
# YCOMAX           %le                   0
# BETXMAX          %le         38.69545835
# BETYMAX          %le         51.76535495
# XCORMS           %le                   0
# YCORMS           %le                   0
# DXRMS            %le        0.2886397798
# DYRMS            %le                   0
# DELTAP           %le                   0
# SYNCH_1          %le                   0
# SYNCH_2          %le                   0
# SYNCH_3          %le                   0
# SYNCH_4          %le                   0
# SYNCH_5          %le                   0
# TITLE            %16s "‚deltaoptik‘"
# ORIGIN           %17s "5.03.06 Darwin 64"
# DATE             %08s "18/07/18"
# TIME             %08s "11.41.07"
# NAME                                S               ALFX               BETX               ALFY               BETY                 DX                DPX                 DY                DPY 
# %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "BL$START"                           0      -0.3026596977         11.1525671      -0.1377651491       0.3779633018       0.7946624468     -0.02521684799                 -0                  0
 "QQ1"                           0.2175        4.019540169        10.31932485      -0.9483764407       0.6074437899       0.7542226772      -0.3438862045                  0                  0
 "DRIFT_0"                        0.238        3.985457279        10.15522241       -1.012477954        0.647641305         0.74717301      -0.3438862045                  0                  0
 "BPM01"                          0.238        3.985457279        10.15522241       -1.012477954        0.647641305         0.74717301      -0.3438862045                  0                  0
 "DRIFT_1"                     1.662561        1.617010644          2.1741651        -5.46694217        9.877970517       0.2572861346      -0.3438862045                  0                  0
 "QQ2"                         1.897561       0.5320827456        1.685609146       -1.078450769        11.47059861       0.1883123697       -0.248100216                  0                  0
 "DRIFT_0"                     1.918061       0.5164778249        1.664113654       -1.082316535        11.51489434       0.1832263152       -0.248100216                  0                  0
 "BPM02"                       1.918061       0.5164778249        1.664113654       -1.082316535        11.51489434       0.1832263152       -0.248100216                  0                  0
 "DRIFT_2"                  2.170152624       0.3245817376        1.452089583       -1.129854448        12.07256411       0.1206823289       -0.248100216                  0                  0
 "BEND1"                    3.277767376      -0.5015337408        1.644128187       0.1195087109        13.26250904      0.04278982331       0.1045537139                  0                  0
 "DRIFT_3"                     3.529722      -0.6933255415        1.945178508        0.100239874        13.20714237      0.06913261497       0.1045537139                  0                  0
 "BPM03"                       3.529722      -0.6933255415        1.945178508        0.100239874        13.20714237      0.06913261497       0.1045537139                  0                  0
 "DRIFT_0"                     3.550222      -0.7089304622        1.973924756      0.09867208713        13.20306467      0.07127596611       0.1045537139                  0                  0
 "QQ3"                         3.785222       -1.696006255        2.524908845        4.203639866        12.16503666      0.09894789505       0.1324727242                  0                  0
 "DRIFT_4"                     4.733589       -3.152013326        7.122610631        2.748110373        5.572226141       0.2245806551       0.1324727242                  0                  0
 "QQ4"                         5.168589        5.141293919        6.061586787       -4.225939777        6.120851895       0.2199473688      -0.1528199192                  0                  0
 "DRIFT_5"                       5.5625        3.358572216        2.713396017       -5.439593876        9.928211922       0.1597499216      -0.1528199192                  0                  0
 "QQ5"                           5.7975        1.520729053        1.611867858     -0.00120449664        11.26234205       0.1330872057     -0.07643416844                  0                  0
 "DRIFT_0"                        5.818        1.478598648         1.55038164    -0.003024724587        11.26242875       0.1315203053     -0.07643416844                  0                  0
 "BPM04"                          5.818        1.478598648         1.55038164    -0.003024724587        11.26242875       0.1315203053     -0.07643416844                  0                  0
 "DRIFT_6"                  6.068532624        0.963718605         0.93850149     -0.02526991891        11.26951748       0.1123710525     -0.07643416844                  0                  0
 "BEND1"                    7.176147376       -1.266640674        1.267250134       0.9939188251        10.12868142       0.2207805239       0.2762197615                  0                  0
 "DRIFT_7"                       7.4277       -1.783616961        2.034550445       0.9445486199        9.641054844       0.2902643297       0.2762197615                  0                  0
 "BPM05"                         7.4277       -1.783616961        2.034550445       0.9445486199        9.641054844       0.2902643297       0.2762197615                  0                  0
 "DRIFT_0"                       7.4482       -1.825747366        2.108542414       0.9405252502         9.60241083       0.2959268348       0.2762197615                  0                  0
 "QQ6"                           7.6832       -4.072246414        3.438746974        5.429043981        8.038823498       0.3812059716       0.4572227483                  0                  0
 "DRIFT_8"                     8.076119       -6.081341534        7.428284597        3.939520376        4.357736559       0.5608574766       0.4572227483                  0                  0
 "QQ7"                         8.511119        6.554244262        7.154222911       -2.570869852        3.872422245        0.548899177      -0.5089022323                  0                  0
 "DRIFT_9"                     8.905799        4.129188436        2.937685694        -3.34642238        6.207859143        0.348045644      -0.5089022323                  0                  0
 "QQ8"                         9.140799        1.900175694         1.57964963        0.241167432         6.97126812        0.248898934      -0.3441028281                  0                  0
 "DRIFT_0"                     9.161299        1.840340472        1.502969049       0.2380557577        6.961444044       0.2418448261      -0.3441028281                  0                  0
 "BPM06"                       9.161299        1.840340472        1.502969049       0.2380557577        6.961444044       0.2418448261      -0.3441028281                  0                  0
 "DRIFT_10"                 9.417699624         1.09196055       0.7511252374       0.1991369666        6.849347557       0.1536166463      -0.3441028281                  0                  0
 "BEND1"                    10.52531438       -2.075681542         1.81871646       0.6671000885        5.829128092     -0.02846347629     0.008551101862                  0                  0
 "DRIFT_11"                   10.777276       -2.811104949         3.04999912       0.6046395941        5.508698496     -0.02630892678     0.008551101862                  0                  0
 "BPM07"                      10.777276       -2.811104949         3.04999912       0.6046395941        5.508698496     -0.02630892678     0.008551101862                  0                  0
 "DRIFT_0"                    10.797776       -2.870940172        3.166481045       0.5995577085        5.484012451     -0.02613362919     0.008551101862                  0                  0
 "QQ9"                        11.032776        -6.26556985        5.226236793        3.142661394        4.564955016     -0.02577495375    -0.005465985241                  0                  0
 "DRIFT_12"                   11.427206       -9.303838746        11.36727863        2.202904675        2.456503391     -0.02793090231    -0.005465985241                  0                  0
 "QQ10"                       11.862206        10.10131293        10.90462511       -1.678175816        2.270538181     -0.02064244904      0.03695786392                  0                  0
 "DRIFT_13"                   12.256526        6.375429528        4.407516025       -2.340940795        3.855356244    -0.006069224139      0.03695786392                  0                  0
 "QQ11"                       12.491526          3.0522023        2.281978705      -0.2028355314        4.480036418      0.00240968106      0.03597137818                  0                  0
 "DRIFT_0"                    12.512026        2.959529766        2.158738198      -0.2075996481        4.488450339     0.003147094313      0.03597137818                  0                  0
 "BPM08"                      12.512026        2.959529766        2.158738198      -0.2075996481        4.488450339     0.003147094313      0.03597137818                  0                  0
 "DRIFT_14"                 12.76658062         1.80878724       0.9449410559      -0.2667571079        4.609200044      0.01230377495      0.03597137818                  0                  0
 "BEND1"                    13.87419538       -3.097243084         2.34324826     0.005110547102        4.917356932       0.2427022818       0.3886253081                  0                  0
 "DRIFT_15"                    14.12428       -4.227778478        4.175123522     -0.04574831041        4.927519811       0.3398914958       0.3886253081                  0                  0
 "BPM09"                       14.12428       -4.227778478        4.175123522     -0.04574831041        4.927519811       0.3398914958       0.3886253081                  0                  0
 "DRIFT_0"                     14.14478       -4.320451011        4.350362227     -0.04991732553        4.929480957       0.3478583146       0.3886253081                  0                  0
 "QQ12"                        14.37978       -9.408687528        7.439636222        2.490875411        4.328717799       0.4648644488       0.6182913112                  0                  0
 "DRIFT_16"                   14.626869       -12.38198447        12.82387158        2.079635183        3.199394907       0.6176374306       0.6182913112                  0                  0
 "QQ13"                       15.061869        5.307376181        16.57288165       -1.641442521        3.036079055       0.7106155593      -0.2094392309                  0                  0
 "DRIFT_17"                   15.705952        4.173791259        10.46622289       -2.425169622        5.655314803       0.5757193112      -0.2094392309                  0                  0
 "BPM10"                      15.705952        4.173791259        10.46622289       -2.425169622        5.655314803       0.5757193112      -0.2094392309                  0                  0
 "DRIFT_0"                    15.726452        4.137711296        10.29583708       -2.450114241        5.755258123       0.5714258069      -0.2094392309                  0                  0
 "QQ14"                       15.961452         4.03487508        8.369668367       -2.995800128        7.031335121       0.5197856306      -0.2297317126                  0                  0
 "DRIFT_18"                 16.86792364        2.163352111         2.75115119       -4.281742252        13.62822091       0.3115403479      -0.2297317126                  0                  0
 "BEND3"                    17.39335036        1.081240258        1.050593549       -4.543747117        18.29801451       0.2231898327      -0.1074064127                  0                  0
 "DRIFT_19"                   17.678022        0.493500398       0.6023095412       -4.880499461        20.98083025       0.1926142729      -0.1074064127                  0                  0
 "BPM11"                      17.678022        0.493500398       0.6023095412       -4.880499461        20.98083025       0.1926142729      -0.1074064127                  0                  0
 "DRIFT_0"                    17.698522       0.4511756091       0.5829436831       -4.904749937        21.18142786       0.1904124414      -0.1074064127                  0                  0
 "QQ15"                       17.933522    -0.004778466738       0.4774931547       -6.755255541        23.90741287       0.1637586376      -0.1191404216                  0                  0
 "DRIFT_20"                   19.596296       -3.487157117        6.283792852       -9.998640102        51.76535495     -0.03434495772      -0.1191404216                  0                  0
 "QQ16"                       19.831296       -9.301158029        9.152895534        21.03596066        49.03973962     -0.06551620082      -0.1493164582                  0                  0
 "DRIFT_21"                   20.677153       -17.38846209        31.72849754        13.38609488        19.92360299      -0.1918165722      -0.1493164582                  0                  0
 "BPM13"                      20.677153       -17.38846209        31.72849754        13.38609488        19.92360299      -0.1918165722      -0.1493164582                  0                  0
 "DRIFT_0"                    20.697653       -17.58446418        32.44544253        13.20069445        19.37857381      -0.1948775596      -0.1493164582                  0                  0
 "QQ17"                       20.932653        4.415149742        35.70737265        1.219206317        16.15191056      -0.2144451891     -0.01509963202                  0                  0
 "DRIFT_22"                 25.04135601        2.057040116        9.115066724       0.5867026726        8.731966865      -0.2764850926     -0.01509963202                  0                  0
 "BEND4"                    25.56651599        1.755772527        7.113644881       0.5455440787        8.136592162      -0.2706656439      0.03727233668                  0                  0
 "DRIFT_23"                     26.1986        1.393000291        5.123355944       0.4447397391        7.510649599       -0.247106396      0.03727233668                  0                  0
 "BPM14"                        26.1986        1.393000291        5.123355944       0.4447397391        7.510649599       -0.247106396      0.03727233668                  0                  0
 "DRIFT_24"                      31.384        -1.58305849         6.10888373      -0.3822244268        7.186482698     -0.05383442138      0.03727233668                  0                  0
 "BPM15"                         31.384        -1.58305849         6.10888373      -0.3822244268        7.186482698     -0.05383442138      0.03727233668                  0                  0
 "DRIFT_25"                 32.01447901       -1.944909568        8.333193524       -0.482772802        7.731845291      -0.0303349956      0.03727233668                  0                  0
 "BEND4"                    32.53963899       -2.246177157        10.53317902      -0.5262276158        8.262412789     0.002975550112      0.08964430538                  0                  0
 "DRIFT_26"                   36.650053       -4.605268778        38.69545835       -1.161472006        15.19955695       0.3714507585      0.08964430538                  0                  0
 "QQ22"                       36.885053        18.90811079        35.15532706       -12.28011403        18.20919958       0.3644574412       -0.148415396                  0                  0
 "DRIFT_0"                    36.905553        18.69905025        34.38438026       -12.45101251        18.71618767       0.3614149256       -0.148415396                  0                  0
 "BPM16"                      36.905553        18.69905025        34.38438026       -12.45101251        18.71618767       0.3614149256       -0.148415396                  0                  0
 "DRIFT_27"                   37.750819        10.07896439        10.05930293       -19.49758219        45.72124852       0.2359644374       -0.148415396                  0                  0
 "QQ23"                       37.985819        3.810215426        6.940558315        8.891215539        48.33789105       0.2170922951     -0.01408126116                  0                  0
 "DRIFT_0"                    38.006319        3.764381404         6.78527908        8.857264924         47.9740472       0.2168036293     -0.01408126116                  0                  0
 "BPM17"                      38.006319        3.764381404         6.78527908        8.857264924         47.9740472       0.2168036293     -0.01408126116                  0                  0
 "DRIFT_28"                   39.649592      0.09034184961       0.4509164353        6.135795213        23.33635629        0.193664273     -0.01408126116                  0                  0
 "QQ24"                       39.884592      -0.3960467626       0.5232133012        4.073887599        20.95208828       0.1885376836     -0.02948052209                  0                  0
 "DRIFT_0"                    39.905092      -0.4413733765        0.540380414        4.056670724        20.78541183       0.1879333329     -0.02948052209                  0                  0
 "BPM18"                      39.905092      -0.4413733765        0.540380414        4.056670724        20.78541183       0.1879333329     -0.02948052209                  0                  0
 "DRIFT_29"                 40.18764464        -1.06611262       0.9663245648        3.819369578        18.56001584       0.1796035335     -0.02948052209                  0                  0
 "BEND3"                    40.71307136       -2.224971705        2.691249596        3.763463787        14.54774352       0.1962087888      0.09284477787                  0                  0
 "DRIFT_30"                    41.62508       -4.241472367        8.588702471        2.812842913        8.550094983       0.2808840286      0.09284477787                  0                  0
 "QQ25"                        41.86008       -4.574992487        10.66341543        2.440402999        7.317271048       0.3021104677      0.08774387814                  0                  0
 "DRIFT_0"                     41.88058       -4.617153126        10.85185442        2.420916346        7.217614002       0.3039092172      0.08774387814                  0                  0
 "BPM19"                       41.88058       -4.617153126        10.85185442        2.420916346        7.217614002       0.3039092172      0.08774387814                  0                  0
 "DRIFT_31"                   42.524072       -5.940569398         17.6456644        1.809233171        4.495546628       0.3603717008      0.08774387814                  0                  0
 "QQ26"                       42.959072        13.12477502         13.8363542       -3.970752751        5.300864541       0.3056343173      -0.3284116728                  0                  0
 "DRIFT_32"                   43.205386        10.04041523        8.130443529       -4.749855218        7.448872373       0.2247419245      -0.3284116728                  0                  0
 "QQ27"                       43.440386        4.557642319        4.846398503      -0.2970198083        8.691319498       0.1611612668      -0.2187754015                  0                  0
 "DRIFT_0"                    43.460886        4.465547515        4.661423111      -0.2995865677        8.703549929       0.1566763711      -0.2187754015                  0                  0
 "BPM20"                      43.460886        4.465547515        4.661423111      -0.2995865677        8.703549929       0.1566763711      -0.2187754015                  0                  0
 "DRIFT_33"                 43.70679962        3.360797901        2.736818149      -0.3303768651        8.858466519       0.1028765193      -0.2187754015                  0                  0
 "BEND1"                    44.81441438       -1.514647799        0.733268707       0.4848133289         8.67657741      0.05680900769       0.1338785284                  0                  0
 "DRIFT_34"                   45.071051       -2.667569734        1.806578895       0.4482830822        8.437110697      0.09116714124       0.1338785284                  0                  0
 "BPM21"                      45.071051       -2.667569734        1.806578895       0.4482830822        8.437110697      0.09116714124       0.1338785284                  0                  0
 "DRIFT_0"                    45.091551       -2.759664539        1.917837198       0.4453650651         8.41879091      0.09391165107       0.1338785284                  0                  0
 "QQ28"                       45.326551        -5.78476163          3.8441364        4.516312154        7.200262104       0.1321355649       0.1949001724                  0                  0
 "DRIFT_35"                   45.720324       -9.315016913        9.790021496        3.346133836        4.104243159       0.2088819905       0.1949001724                  0                  0
 "QQ29"                       46.155324        8.432531141        10.30443419       -3.170591488        4.042178881       0.2126637673      -0.1785742194                  0                  0
 "DRIFT_36"                   46.552445        5.653588179        4.710540395       -4.256451293        6.991613537       0.1417481947      -0.1785742194                  0                  0
 "QQ30"                       46.787445        2.621287541        2.843156878      -0.4071372845        8.135656078       0.1078602755      -0.1128333862                  0                  0
 "DRIFT_0"                    46.807945        2.564534239        2.736847532      -0.4100747361        8.152408924       0.1055471911      -0.1128333862                  0                  0
 "BPM22"                      46.807945        2.564534239        2.736847532      -0.4100747361        8.152408924       0.1055471911      -0.1128333862                  0                  0
 "DRIFT_37"                 47.05568062        1.878689617        1.636102698      -0.4455728531        8.364383314      0.07759434176      -0.1128333862                  0                  0
 "BEND1"                    48.16329538       -1.125797393       0.8190202767        0.328925351        8.501766091       0.1465012655       0.2398205437                  0                  0
 "DRIFT_38"                   48.421492        -1.84060281        1.584934794       0.2952698257        8.340601003       0.2084221202       0.2398205437                  0                  0
 "BPM23"                      48.421492        -1.84060281        1.584934794       0.2952698257        8.340601003       0.2084221202       0.2398205437                  0                  0
 "DRIFT_0"                    48.441992       -1.897356112        1.661562952       0.2925976829         8.32854972       0.2133384413       0.2398205437                  0                  0
 "QQ31"                       48.676992       -4.075389089         3.00886211        4.305374696        7.200072042       0.2845173267       0.3723249365                  0                  0
